t,signal
4.420833,-1.574603175
4.425,-1.653333333
4.429167,-1.574603175
4.433333,-1.653333333
4.4375,-1.495873016
4.441667,-1.338412698
4.445833,-1.495873016
4.45,-1.338412698
4.454167,-0.551111111
4.458333,0.551111111
4.4625,1.25968254
4.466667,1.732063492
4.470833,1.732063492
4.475,0.62984127
4.479167,-0.078730159
4.483333,-0.866031746
4.4875,-1.25968254
4.491667,-1.495873016
4.495833,-1.653333333
4.5,-2.046984127
4.504167,-1.732063492
4.508333,-1.495873016
4.5125,-1.417142857
4.516667,-1.495873016
4.520833,-1.417142857
4.525,-1.495873016
4.529167,-1.495873016
4.533333,-1.653333333
4.5375,-1.495873016
4.541667,-1.338412698
4.545833,-1.338412698
4.55,-1.495873016
4.554167,-1.495873016
4.558333,-1.417142857
4.5625,-1.338412698
4.566667,-1.338412698
4.570833,-1.25968254
4.575,-1.338412698
4.579167,-1.338412698
4.583333,-1.338412698
4.5875,-1.338412698
4.591667,-1.338412698
4.595833,-1.338412698
4.6,-1.338412698
4.604167,-1.338412698
4.608333,-1.180952381
4.6125,-1.023492063
4.616667,-1.102222222
4.620833,-1.023492063
4.625,-1.102222222
4.629167,-1.023492063
4.633333,-1.023492063
4.6375,-0.944761905
4.641667,-0.787301587
4.645833,-0.62984127
4.65,-0.866031746
4.654167,-0.708571429
4.658333,-0.551111111
4.6625,-0.472380952
4.666667,-0.472380952
4.670833,-0.236190476
4.675,-0.236190476
4.679167,-0.157460317
4.683333,0
4.6875,0
4.691667,0.157460317
4.695833,0.157460317
4.7,0
4.704167,0.157460317
4.708333,0.157460317
4.7125,0.157460317
4.716667,0.157460317
4.720833,0.236190476
4.725,0.078730159
4.729167,0
4.733333,-0.078730159
4.7375,-0.078730159
4.741667,-0.078730159
4.745833,-0.078730159
4.75,-0.551111111
4.754167,-0.551111111
4.758333,-0.551111111
4.7625,-0.62984127
4.766667,-0.787301587
4.770833,-0.787301587
4.775,-0.944761905
4.779167,-1.023492063
4.783333,-1.102222222
4.7875,-1.180952381
4.791667,-1.102222222
4.795833,-1.102222222
4.8,-1.338412698
4.804167,-1.25968254
4.808333,-1.25968254
4.8125,-1.25968254
4.816667,-1.417142857
4.820833,-1.338412698
4.825,-1.417142857
4.829167,-1.338412698
4.833333,-1.417142857
4.8375,-1.338412698
4.841667,-1.25968254
4.845833,-1.338412698
4.85,-1.574603175
4.854167,-1.417142857
4.858333,-1.25968254
4.8625,-1.25968254
4.866667,-1.25968254
4.870833,-1.25968254
4.875,-1.25968254
4.879167,-1.338412698
4.883333,-1.25968254
4.8875,-1.180952381
4.891667,-1.102222222
4.895833,-1.180952381
4.9,-1.338412698
4.904167,-1.25968254
4.908333,-1.25968254
4.9125,-1.338412698
4.916667,-1.25968254
4.920833,-1.180952381
4.925,-1.25968254
4.929167,-1.25968254
4.933333,-1.25968254
4.9375,-1.25968254
4.941667,-1.180952381
4.945833,-1.102222222
4.95,-1.338412698
4.954167,-1.338412698
4.958333,-1.25968254
4.9625,-1.25968254
4.966667,-1.338412698
4.970833,-1.25968254
4.975,-1.417142857
4.979167,-1.338412698
4.983333,-1.338412698
4.9875,-1.25968254
4.991667,-1.102222222
4.995833,-1.102222222
5,-1.417142857
